gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	gene_name	gene_type
ENSG00000152078.10	4099.67426559037	-3.87381188662939	0.330236760815399	1.38793852750396e-32	4.03485857563602e-30	TLCD4	protein_coding
ENSG00000174938.14	4278.21894932091	4.71948849422725	0.405609676686237	2.73156107305992e-32	7.86453203948396e-30	SEZ6L2	protein_coding
ENSG00000175063.17	617.811888898173	4.766286628372	0.409787573094353	2.77150390485765e-32	7.90353727839549e-30	UBE2C	protein_coding
ENSG00000137992.14	1775.31775304958	-2.08799582084499	0.180618426153089	2.96468616786676e-32	8.37467904947495e-30	DBT	protein_coding
ENSG00000117650.13	372.632683058884	5.09733971843192	0.439630467986828	3.15604678327984e-32	8.83191671324751e-30	NEK2	protein_coding
ENSG00000147853.17	4508.78980396452	-2.27877609483572	0.197707921730216	4.63446653475146e-32	1.28490584675984e-29	AK3	protein_coding
ENSG00000266964.6	26.3210037742241	-5.62832456453369	0.491188728445971	8.39296314470796e-32	2.28464086765446e-29	FXYD1	protein_coding
ENSG00000114346.14	1304.28862630337	3.79480732761639	0.327899333699353	8.86730676275252e-32	2.39201591348738e-29	ECT2	protein_coding
ENSG00000167642.13	3435.75409687235	3.4587860623257	0.299001900786315	9.13815262710971e-32	2.44306878672809e-29	SPINT2	protein_coding
ENSG00000139531.13	1754.6368120936	-2.21508645445569	0.193390425757754	1.03202491677517e-31	2.7346833701769e-29	SUOX	protein_coding
ENSG00000138030.13	3286.83002155036	-4.73340523269169	0.411381169046641	1.21758275843273e-31	3.19807723997817e-29	KHK	protein_coding
ENSG00000111206.13	801.162593924705	4.0662963436329	0.353459098587217	1.84525607629703e-31	4.80456545152714e-29	FOXM1	protein_coding
ENSG00000143061.18	2462.66699699301	4.0780710427328	0.355521109007786	2.70870681526131e-31	6.87345831943807e-29	IGSF3	protein_coding
ENSG00000159184.8	105.448732504236	18.3102842185271	1.58528694486975	2.70550997659725e-31	6.87345831943807e-29	HOXB13	protein_coding
ENSG00000198130.16	2289.21789335192	-2.5112528225378	0.220504162925279	2.83190646363718e-31	7.12569539837716e-29	HIBCH	protein_coding
ENSG00000101057.16	858.137091105559	4.81928437304633	0.421977277623801	3.03832635210471e-31	7.58138383008929e-29	MYBL2	protein_coding
ENSG00000127564.17	377.212433066857	3.7485631715705	0.327094640052863	3.28954249126192e-31	8.14039428230211e-29	PKMYT1	protein_coding
ENSG00000104177.18	680.147046514115	4.35704074686906	0.381676872855537	4.47667490456365e-31	1.09873013661762e-28	MYEF2	protein_coding
ENSG00000137106.18	12047.3618506841	-3.00465243809536	0.263836393354335	5.30108579301605e-31	1.29049115366081e-28	GRHPR	protein_coding
ENSG00000169679.15	383.036894370177	4.22769255910324	0.371230030243106	6.54618928577271e-31	1.58074633696687e-28	BUB1	protein_coding
ENSG00000132698.15	3891.04594174412	5.1674355533573	0.456320433102083	6.63215282972983e-31	1.5886924174448e-28	RAB25	protein_coding
ENSG00000058085.15	10008.2729433904	5.12201238782273	0.452515855199358	7.3638846189487e-31	1.74997458051731e-28	LAMC2	protein_coding
ENSG00000175029.17	2128.83796818052	2.64904791444188	0.234654036141245	1.0534562774443e-30	2.46434697777459e-28	CTBP2	protein_coding
ENSG00000101974.14	1288.82843622911	-2.95305579025953	0.260900517140902	1.10876840664019e-30	2.57363196899436e-28	ATP11C	protein_coding
ENSG00000093009.11	326.740056145419	4.08704303776409	0.360316809705654	1.16891314098163e-30	2.66560036219406e-28	CDC45	protein_coding
ENSG00000198648.11	1361.96818305425	3.36048225505012	0.296290506425199	1.18399909218118e-30	2.66560036219406e-28	STK39	protein_coding
ENSG00000205336.14	8692.02264748896	3.50103951979556	0.308526268935932	1.16714327505128e-30	2.66560036219406e-28	ADGRG1	protein_coding
ENSG00000011426.11	631.402633867561	4.60925585528422	0.407354252230171	1.19748895386428e-30	2.67585162280285e-28	ANLN	protein_coding
ENSG00000117724.13	1440.18028762083	4.38333173552955	0.387077979200625	1.25322187558553e-30	2.77964612004872e-28	CENPF	protein_coding
ENSG00000172340.15	5352.56699202649	-2.49441171235128	0.221933250019325	1.51790147261939e-30	3.34195027901783e-28	SUCLG2	protein_coding
ENSG00000276043.5	431.206701365238	4.27661505166124	0.378236577914187	1.62122763979921e-30	3.54338826412466e-28	UHRF1	protein_coding
ENSG00000186185.14	364.801230103684	4.90006673248032	0.435376633982758	1.87939694486975e-30	4.04854551944136e-28	KIF18B	protein_coding
ENSG00000139160.13	216.927700014007	-2.24227383290024	0.200311414446638	2.02943700473538e-30	4.34053087377081e-28	ETFBKMT	protein_coding
ENSG00000170312.16	656.605338629985	3.98224169641629	0.352677496382606	2.17413920462984e-30	4.6170390215767e-28	CDK1	protein_coding
ENSG00000091831.24	721.618709972695	-5.18652346183721	0.462466399677177	2.24111991919356e-30	4.7257643479164e-28	ESR1	protein_coding
ENSG00000171241.9	280.129186118818	4.20118387309363	0.372929410967036	2.69030505286156e-30	5.63327302082752e-28	SHCBP1	protein_coding
ENSG00000213186.8	223.880705556752	3.29082869567751	0.292909604516317	3.83587060967671e-30	7.9762134489965e-28	TRIM59	protein_coding
ENSG00000124370.11	541.988306660716	-1.95191370819657	0.175379226693059	4.35816368265541e-30	8.97901652689264e-28	MCEE	protein_coding
ENSG00000146670.10	529.220978573067	3.73328672456638	0.332340410476562	4.37810644533389e-30	8.97901652689264e-28	CDCA5	protein_coding
ENSG00000107566.14	2756.55940910139	-2.53621534858158	0.227575862018879	4.65725721943408e-30	9.48654781779011e-28	ERLIN1	protein_coding
ENSG00000106665.16	3301.52882475692	2.97305333465069	0.265862846038824	5.27954743473319e-30	1.06700691123593e-27	CLIP2	protein_coding
ENSG00000139734.19	174.131512799878	4.39161200587243	0.392240221390062	5.30955581518729e-30	1.06700691123593e-27	DIAPH3	protein_coding
ENSG00000100577.19	2271.35166435726	-3.71637735949785	0.331433098869938	5.50545698441438e-30	1.09172118201536e-27	GSTZ1	protein_coding
ENSG00000101856.10	10886.4966560791	-2.77366057895498	0.248591946193583	5.49653401387763e-30	1.09172118201536e-27	PGRMC1	protein_coding
ENSG00000121361.5	766.516202768558	-4.27279662676213	0.381967382449611	6.34283480558207e-30	1.24949672752331e-27	KCNJ8	protein_coding
ENSG00000241399.7	371.746777903741	-4.4768570636003	0.40070923001181	6.58922517561031e-30	1.28955012701503e-27	CD302	protein_coding
ENSG00000164188.9	187.899325568455	-5.29100627306277	0.476339137162551	6.68320717916105e-30	1.29944982185467e-27	RANBP3L	protein_coding
ENSG00000109445.11	1120.92760984178	-1.61294201848829	0.145000136503107	7.64279949314376e-30	1.47644093692389e-27	ZNF330	protein_coding
ENSG00000154760.14	2712.40688168692	3.61144734913148	0.323217425231866	8.55619227956799e-30	1.64229529119939e-27	SLFN13	protein_coding
ENSG00000063854.13	5014.77091625135	-2.78323527628176	0.250459632622995	9.20876336425716e-30	1.75629300264938e-27	HAGH	protein_coding
ENSG00000064547.14	1413.01299261341	3.31998700602351	0.297964584381743	1.10632936214464e-29	2.08344780444636e-27	LPAR2	protein_coding
ENSG00000158106.14	1635.8660781129	3.68010021617667	0.330125846453067	1.14914859421877e-29	2.15055977229329e-27	RHPN1	protein_coding
ENSG00000171497.5	1468.28005203322	-1.81686730683637	0.164554817466447	1.36098788988909e-29	2.53118387496577e-27	PPID	protein_coding
ENSG00000174996.12	1024.92897931955	1.99594121135665	0.181316347625378	1.64175119022841e-29	3.03450344993884e-27	KLC2	protein_coding
ENSG00000117399.14	713.998357857946	4.76358061989188	0.430809839444554	1.93411171808554e-29	3.53128702284363e-27	CDC20	protein_coding
ENSG00000170293.9	560.893539711152	-2.61193740440701	0.237696410274014	2.914179364052e-29	5.28844076956419e-27	CMTM8	protein_coding
ENSG00000082458.12	1898.91307341766	3.01714448763987	0.273501450205688	2.98943858370161e-29	5.39233491034804e-27	DLG3	protein_coding
ENSG00000006611.17	4576.31916949695	5.15854029305314	0.469707010974592	3.0852321445894e-29	5.53180276080481e-27	USH1C	protein_coding
ENSG00000161533.12	8502.2407500878	-2.73980020826474	0.249226437797799	3.27648091246066e-29	5.83974214058391e-27	ACOX1	protein_coding
ENSG00000151611.16	706.026882842307	-2.09870374899393	0.191932183349898	3.56354149571127e-29	6.31379426071494e-27	MMAA	protein_coding
ENSG00000156711.17	2987.78773675106	3.17844382509378	0.288222414553718	3.60816887297008e-29	6.35525885666724e-27	MAPK13	protein_coding
ENSG00000178537.10	2061.67662360098	-3.48506933741754	0.315741036737531	3.79457119994008e-29	6.64449388536876e-27	SLC25A20	protein_coding
ENSG00000112294.14	4340.58232417834	-3.10533582340346	0.282017289314079	4.07942256830638e-29	7.06070230998832e-27	ALDH5A1	protein_coding
ENSG00000176422.14	1853.0624277778	-2.8850015089212	0.262573476191671	4.20079667324283e-29	7.22899165442013e-27	SPRYD4	protein_coding
ENSG00000149554.13	467.825324281176	3.01104025214017	0.273935779978956	4.61338795705805e-29	7.84878838626076e-27	CHEK1	protein_coding
ENSG00000183856.11	1065.95183037138	4.76148850566562	0.436502208256931	1.00444813169302e-28	1.68967361838674e-26	IQGAP3	protein_coding
ENSG00000116138.13	1040.12472310578	-1.64681719847382	0.151376087226449	1.08139727720068e-28	1.80895411571061e-26	DNAJC16	protein_coding
ENSG00000124429.18	1298.70169074751	4.18339030439034	0.382813624588352	1.17075177220519e-28	1.94754557306334e-26	POF1B	protein_coding
ENSG00000170088.14	1673.08732245354	-2.25047776161504	0.207891191855052	1.21891059544214e-28	2.01645524637149e-26	TMEM192	protein_coding
ENSG00000152782.16	1992.29325058666	-3.66829374769545	0.335586434306746	1.270755418176e-28	2.09067194980461e-26	PANK1	protein_coding
ENSG00000142945.13	463.467191722839	4.25610884858386	0.39034508395151	1.48089821795332e-28	2.40992039892262e-26	KIF2C	protein_coding
ENSG00000168237.18	3169.794797945	-4.02924446487442	0.369747473757281	1.74159806418434e-28	2.81884707220928e-26	GLYCTK	protein_coding
ENSG00000169258.7	352.325075174805	4.20019380905702	0.38585175561201	1.85188054386916e-28	2.98122898521905e-26	GPRIN1	protein_coding
ENSG00000099364.18	832.806937572468	1.8335615121213	0.169752256707339	1.86537402922191e-28	2.98689275705837e-26	FBXL19	protein_coding
ENSG00000131069.20	3402.55668598986	-2.5210404021239	0.233335345865011	1.95906721913797e-28	3.12023136928981e-26	ACSS2	protein_coding
ENSG00000109667.12	412.983924951571	-4.31712342593171	0.397904522821108	2.58411673650052e-28	4.07549409782146e-26	SLC2A9	protein_coding
ENSG00000137513.10	561.400177282301	-1.70070578076513	0.157615412836992	2.5860597755271e-28	4.07549409782146e-26	NARS2	protein_coding
ENSG00000183317.17	560.048917599526	6.46777291110582	0.610194628670475	2.69626701370757e-28	4.22692791578251e-26	EPHA10	protein_coding
ENSG00000109805.10	288.483147639148	4.14130665300043	0.382512321801429	3.61618462429613e-28	5.58141320645871e-26	NCAPG	protein_coding
ENSG00000133835.17	8278.28410665222	-2.63494576392189	0.245164006306347	4.18478830021672e-28	6.42590338837893e-26	HSD17B4	protein_coding
ENSG00000103550.14	567.110309849602	1.6773193153757	0.156134160071267	4.51143488991405e-28	6.89213749534165e-26	KNOP1	protein_coding
ENSG00000107537.14	8576.3298570538	-3.68707878830587	0.340957988878189	4.57441868202933e-28	6.95288419269057e-26	PHYH	protein_coding
ENSG00000163362.11	1744.24656167341	4.77971241304696	0.443970593872825	4.67497622510572e-28	7.06983904587578e-26	INAVA	protein_coding
ENSG00000197894.11	6317.6006289197	-1.89033036251787	0.176820652252364	5.78950930771075e-28	8.7113204623509e-26	ADH5	protein_coding
ENSG00000164466.13	3165.58222126689	-2.22081144910542	0.208097224048787	6.33475064291341e-28	9.48407192503781e-26	SFXN1	protein_coding
ENSG00000183044.12	11619.1534254493	-4.80200032412929	0.447882663468933	7.40514844276935e-28	1.09768494961308e-25	ABAT	protein_coding
ENSG00000187824.9	1560.02131896576	-4.21757732033326	0.392276850697495	7.89390174407314e-28	1.16436995035853e-25	TMEM220	protein_coding
ENSG00000004866.22	1026.17993890965	-1.6732933320443	0.156513481606097	7.95173010230443e-28	1.16715026692795e-25	ST7	protein_coding
ENSG00000121152.10	415.570870933372	3.54463978514628	0.330575750293022	1.20878447322241e-27	1.76559187715603e-25	NCAPH	protein_coding
ENSG00000137491.15	5991.75802023105	-4.10006130736303	0.382692300635553	1.24871562871209e-27	1.81506272187019e-25	SLCO2B1	protein_coding
ENSG00000179636.15	72.6433821174543	-5.16673646854952	0.485623249701384	1.27363632422166e-27	1.84234263073281e-25	TPPP2	protein_coding
ENSG00000168306.13	3501.8321764419	-5.70725633645554	0.539650431654417	1.31907741367769e-27	1.89890072104573e-25	ACOX2	protein_coding
ENSG00000131747.15	1871.27385971717	4.37648626372168	0.409360680362707	1.39358345320029e-27	1.99655834158738e-25	TOP2A	protein_coding
ENSG00000159259.8	418.079855435466	2.99758311004985	0.280834193379212	1.44978703396496e-27	2.06718919800061e-25	CHAF1B	protein_coding
ENSG00000101412.13	716.249904923874	3.63784016561216	0.34030901340814	1.74439154098274e-27	2.47546520908276e-25	E2F1	protein_coding
ENSG00000099953.10	4766.84940061716	4.89162043342615	0.460221487893082	1.85542102274351e-27	2.62060715490607e-25	MMP11	protein_coding
ENSG00000165588.18	20.2284409604083	13.8753358139602	1.3043229101715	2.29393970542021e-27	3.20969329903725e-25	OTX2	protein_coding
ENSG00000143149.12	4440.01315467439	-2.17864492426035	0.20664892592371	2.49397465089334e-27	3.47335269635811e-25	ALDH9A1	protein_coding
ENSG00000113758.13	5615.27074160837	3.75058906951927	0.352408053318502	2.89564837134619e-27	4.01409255477866e-25	DBN1	protein_coding
ENSG00000074935.14	797.576203358611	-2.61855177366269	0.248105649310939	3.26160557435761e-27	4.50056477940046e-25	TUBE1	protein_coding
ENSG00000095203.14	2211.7754897945	-3.70347451948239	0.348421592550311	3.34710782909969e-27	4.59736007920789e-25	EPB41L4B	protein_coding
ENSG00000099282.10	5418.0428510808	3.90693284195552	0.367856620877393	3.58642613939417e-27	4.90357798593057e-25	TSPAN15	protein_coding
ENSG00000162073.14	472.822364905983	3.77599487183237	0.355483832109544	3.60405888708612e-27	4.90528796618271e-25	PAQR4	protein_coding
ENSG00000159200.18	3785.52910266099	-3.88028556654993	0.365432823215178	3.70206935784512e-27	5.01588519375368e-25	RCAN1	protein_coding
ENSG00000105738.11	2911.85959621167	2.11109896958147	0.201009051045754	3.80606457611085e-27	5.13355818029221e-25	SIPA1L3	protein_coding
ENSG00000143028.9	176.348574827644	-4.09451619043319	0.386511479488197	4.53807465199177e-27	6.09343360110268e-25	SYPL2	protein_coding
ENSG00000077152.11	361.820459914414	3.58659517832121	0.33852984001979	4.80105610832732e-27	6.41776888623416e-25	UBE2T	protein_coding
ENSG00000116171.19	17135.4946716488	-3.02085492815466	0.286075031765295	5.02403439544335e-27	6.685984973456e-25	SCP2	protein_coding
ENSG00000148943.12	1509.15245680739	-1.55796564509393	0.148177653460538	6.58350250538642e-27	8.68413284223725e-25	LIN7C	protein_coding
